game_id,play_id,old
401326629,401326629230,1
401326629,401326629326,1
401326629,401326629583,1
401326629,4013266291135,1
401326629,4013266291355,1
401326629,4013266291502,1
401326629,4013266292101,1
401326629,4013266292592,1
401326629,4013266292611,1
401326629,4013266292637,1
401326629,4013266293124,1
401326629,4013266293264,1
401326630,401326630359,1
401326630,401326630983,1
401326630,4013266301111,1
401326630,4013266301368,1
401326630,4013266301387,1
401326630,4013266301628,1
401326630,4013266301729,1
401326630,4013266301808,1
401326630,4013266302052,1
401326630,4013266302146,1
401326630,4013266302664,1
401326630,4013266302818,1
401326630,4013266302844,1
401326630,4013266303315,1
401326630,4013266303388,1
401326626,401326626273,1
401326626,401326626603,1
401326626,401326626845,1
401326626,4013266261290,1
401326626,4013266261482,1
401326626,4013266261711,1
401326626,4013266261900,1
401326626,4013266261977,1
401326626,4013266262046,1
401326626,4013266262194,1
401326626,4013266262382,1
401326626,4013266262716,1
401326626,4013266262991,1
401326626,4013266263151,1
401326626,4013266263240,1
401326626,4013266263504,1
401326626,4013266263717,1
